Report fatture;;;;;;;;;;;;;;;;;;;;;
Dati Economici;;;;;;;;;;;;;;;;;;;Dati Fatturazione;;
Codice Pratica;Codice SF;Data Creazione Pratica;Area Territoriale- classificazione FiberCop (Gioia);Regione;Provincia;Comune;Tipologia Infrastruttura;Caratterizzazione;Descrizione Prodotto;Oggetto di Fatturazione;IRU;Quantità;Numerosità;Unità di Misura;Prezzo Unitario;Percentuale;Corrispettivo;Listino di Riferimento;Riferimento Fattura (numero fattura);Data emissione fattura;Periodo di Fatturazione
98517;SF2400835834/0;22/10/2024;;LOMBARDIA;LO;LODI;LOCALI;-;Contributo fattibilita;Fattibilità;20;1;1;N_SDF;268,41;100%;268,41;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047310;22/05/2025;Aprile 2025
98517;SF2400835834/0;22/10/2024;;LOMBARDIA;LO;LODI;LOCALI;-;Riduzione per Operatore;IRU;20;25;1;N_IRU;-0,25;100%;-6,25;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047310;22/05/2025;Aprile 2025
98517;SF2400835834/0;22/10/2024;;LOMBARDIA;LO;LODI;LOCALI;-;Contributo aggiornamento cartografia;Cartografia;20;1;1;N_CAR;389,45;80%;311,56;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047310;22/05/2025;Aprile 2025
98517;SF2400835834/0;22/10/2024;;LOMBARDIA;LO;LODI;LOCALI;-;1 Minitubo;IRU;20;293,2;1;N_IRU;8,05;100%;2360,26;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047310;22/05/2025;Aprile 2025
93532;SF2400754559/0;03/06/2024;;CAMPANIA;CE;ORTA DI ATELLA;LOCALI;-;Contributo aggiornamento cartografia;Cartografia;20;1;1;N_CAR;389,45;100%;389,45;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047323;22/05/2025;Aprile 2025
93532;SF2400754559/0;03/06/2024;;CAMPANIA;CE;ORTA DI ATELLA;LOCALI;-;2 Minitubo;IRU;20;52,8;1;N_IRU;16,1;100%;850,08;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047323;22/05/2025;Aprile 2025
93532;SF2400754559/0;03/06/2024;;CAMPANIA;CE;ORTA DI ATELLA;LOCALI;-;1 Minitubo;IRU;20;136,8;1;N_IRU;8,05;80%;880,99;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047323;22/05/2025;Aprile 2025
93532;SF2400754559/0;03/06/2024;;CAMPANIA;CE;ORTA DI ATELLA;LOCALI;-;Contributo fattibilita;Fattibilità;20;1;1;N_SDF;268,41;80%;214,73;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047323;22/05/2025;Aprile 2025
100647;SF2400846202/0;16/12/2024;;LOMBARDIA;BG;STEZZANO;LOCALI;-;Contributo aggiornamento cartografia;Cartografia;20;1;1;N_CAR;389,45;80%;311,56;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047310;22/05/2025;Aprile 2025
100647;SF2400846202/0;16/12/2024;;LOMBARDIA;BG;STEZZANO;LOCALI;-;2 Minitubo;IRU;20;101,03;1;N_IRU;16,1;100%;1626,58;OFFERTA DI RIFERIMENTO (Mercato 3a) - Delibera 132/23/CONS;A89020251000047310;22/05/2025;Aprile 2025
